x,y,z,intensity,volume,csv_path
5.760266865,9.27288112,5.465039328,81510192,782.7183552,Q6.13/R_2ydugxPVoGtDEo4_nuclei1.csv
22.89570839,9.173235599,4.190662885,73369439,716.6046304,Q6.13/R_2ydugxPVoGtDEo4_nuclei1.csv
13.8396114,23.62527891,8.950250972,97622536,787.266576,Q6.13/R_2ydugxPVoGtDEo4_nuclei1.csv
22.82801995,26.18243188,9.887129012,84528897,691.1142976,Q6.13/R_2ydugxPVoGtDEo4_nuclei1.csv
25.12036238,8.387366294,14.1642507,77733734,867.6277024,Q6.13/R_2ydugxPVoGtDEo4_nuclei1.csv
22.32,26.05,9.74,58877200,362.32,Q6.13/R_1ePOgKBqC8pSpzT_nuclei1.csv
13.97,23.75,8.84,67640704,412.08,Q6.13/R_1ePOgKBqC8pSpzT_nuclei1.csv
25,8.24,13.28,41358700,276.16,Q6.13/R_1ePOgKBqC8pSpzT_nuclei1.csv
22.86,9.11,4.2,39139700,261.74,Q6.13/R_1ePOgKBqC8pSpzT_nuclei1.csv
5.68,9.19,5.52,48307200,323.89,Q6.13/R_1ePOgKBqC8pSpzT_nuclei1.csv
183.74,73.03,20.48,,,Q6.13/R_3RxOa8kaiyul4bG_nuclei1.csv
45.59,73.74,26.76,,,Q6.13/R_3RxOa8kaiyul4bG_nuclei1.csv
201.58,66.31,65.48,,,Q6.13/R_3RxOa8kaiyul4bG_nuclei1.csv
111.51,190.38,43.68,,,Q6.13/R_3RxOa8kaiyul4bG_nuclei1.csv
180.88,209.51,48.43,,,Q6.13/R_3RxOa8kaiyul4bG_nuclei1.csv
22.9686,20.4279,8.73217,78771100,476.357,Q7.13/R_1M6DoAmYEY3Jrvm_nuclei2.csv
16.7573,16.5793,4.50371,48681600,312.972,Q7.13/R_1M6DoAmYEY3Jrvm_nuclei2.csv
15.5073,13.0133,11.2941,63340500,389.018,Q7.13/R_1M6DoAmYEY3Jrvm_nuclei2.csv
8.03104,13.3621,6.72303,87104700,480.187,Q7.13/R_1M6DoAmYEY3Jrvm_nuclei2.csv
7.58637,4.27134,6.89272,49284800,353.716,Q7.13/R_1M6DoAmYEY3Jrvm_nuclei2.csv
16.4078267681,16.9939062562,4.4739461682,67434176,465.1474736794,Q7.13/R_31bjqd6Mm8wBxN5_nuclei2.csv
13.3832053978,7.9102428248,6.576770401,96763636,569.4724260743,Q7.13/R_31bjqd6Mm8wBxN5_nuclei2.csv
4.121508023,7.5635680443,6.7539942227,60440706,476.50546929,Q7.13/R_31bjqd6Mm8wBxN5_nuclei2.csv
20.7460048726,23.2799368628,8.8111932742,84454038,560.0794709999,Q7.13/R_31bjqd6Mm8wBxN5_nuclei2.csv
12.8104136369,15.5015891784,11.3207536706,71024489,464.3504213558,Q7.13/R_31bjqd6Mm8wBxN5_nuclei2.csv
139.3530261,131.1500715,23.04193648,950.0153512,438.8064384,Q7.13/R_0638fJAPpmzLtu1_nuclei2.csv
76.11712151,106.3952137,34.63809829,2054.55839,882.5331968,Q7.13/R_0638fJAPpmzLtu1_nuclei2.csv
61.43248764,35.10395614,33.47774672,902.95105,457.6881664,Q7.13/R_0638fJAPpmzLtu1_nuclei2.csv
182.4234424,161.7338404,43.69743697,1358.985556,590.315392,Q7.13/R_0638fJAPpmzLtu1_nuclei2.csv
123.8826133,103.5884577,58.7948004,930.7146105,419.6786944,Q7.13/R_0638fJAPpmzLtu1_nuclei2.csv
17.021,16.63,4.4,45074196,283.554,Q7.13/R_2c14tLfUPR1Vnua_nuclei2.csv
23.166,20.663,9.1,70555961,419.072,Q7.13/R_2c14tLfUPR1Vnua_nuclei2.csv
7.95,13.63,6.8,82006800,443.56,Q7.13/R_2c14tLfUPR1Vnua_nuclei2.csv
7.633,4.208,7.2,46828660,332.959,Q7.13/R_2c14tLfUPR1Vnua_nuclei2.csv
15.573,12.896,11.6,56881588,346.577,Q7.13/R_2c14tLfUPR1Vnua_nuclei2.csv
59.67,35.79,33.5,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
66.26,107.76,32.15,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
137.12,132.57,22.5,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
184.97,164.39,44.28,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
124.95,105.12,56.8,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
,,,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
,,,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
,,,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
,,,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
,,,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
,,,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
,,,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
,,,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
,,,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
,,,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
,,,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
,,,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
,,,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
,,,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
,,,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
,,,,,Q7.13/R_3RxOa8kaiyul4bG_nuclei2.csv
17.1570132,16.69679849,4.290352631,,,Q7.13/R_1GUZ4XruXifzoPp_nuclei2.csv
7.889494654,13.32458834,6.770176697,,,Q7.13/R_1GUZ4XruXifzoPp_nuclei2.csv
15.77764425,12.72748728,11.40348587,,,Q7.13/R_1GUZ4XruXifzoPp_nuclei2.csv
7.489368447,4.075140265,6.984951019,,,Q7.13/R_1GUZ4XruXifzoPp_nuclei2.csv
22.97626994,20.52726244,8.899942017,,,Q7.13/R_1GUZ4XruXifzoPp_nuclei2.csv
23.2,20.7,8.82,69400000,405,Q7.13/R_tY87q7yGKRqww5X_nuclei2.csv
